year,fips,state,usps,child_poverty,premature_death,pct_rural,uninsured,source
2017,15,Hawaii,HI,13.6,5628.9,13.9,4.9,simulated
2018,15,Hawaii,HI,13.0,5592.7,13.9,4.7,simulated
2019,15,Hawaii,HI,13.2,5663.1,13.9,4.9,simulated
2020,15,Hawaii,HI,12.6,6175.2,13.9,4.4,simulated
2021,15,Hawaii,HI,12.3,6499.2,13.9,4.3,simulated
2022,15,Hawaii,HI,12.2,6225.1,13.9,4.7,simulated
2023,15,Hawaii,HI,12.0,5931.0,13.9,4.1,simulated
2024,15,Hawaii,HI,12.1,6148.1,13.9,4.4,real
2025,15,Hawaii,HI,11.8,6298.6,13.9,4.3,real
2016,16,Idaho,ID,17.0,5643.2,30.8,13.3,simulated
2017,16,Idaho,ID,16.0,5708.7,30.8,13.1,simulated
2018,16,Idaho,ID,15.8,5834.0,30.8,12.7,simulated
2019,16,Idaho,ID,15.2,6181.3,30.8,12.4,simulated
2020,16,Idaho,ID,14.4,6490.9,30.8,11.8,simulated
2021,16,Idaho,ID,14.0,6858.2,30.8,11.8,simulated
2022,16,Idaho,ID,13.7,6934.4,30.8,10.8,simulated
2023,16,Idaho,ID,12.5,6722.4,30.8,11.0,simulated
2024,16,Idaho,ID,12.3,6827.4,30.8,10.5,real
2025,16,Idaho,ID,11.3,7098.8,30.8,9.8,real
2016,17,Illinois,IL,19.7,5848.6,13.1,10.6,simulated
2017,17,Illinois,IL,19.6,6181.2,13.1,10.3,simulated
2018,17,Illinois,IL,19.2,6258.2,13.1,10.1,simulated
2019,17,Illinois,IL,18.2,6664.8,13.1,9.9,simulated
2020,17,Illinois,IL,18.1,7264.6,13.1,9.1,simulated
2021,17,Illinois,IL,17.2,7508.0,13.1,9.1,simulated
2022,17,Illinois,IL,16.8,7284.1,13.1,9.1,simulated
2023,17,Illinois,IL,16.5,7219.6,13.1,8.8,simulated
2024,17,Illinois,IL,15.7,7549.0,13.1,8.2,real
2025,17,Illinois,IL,14.7,7920.5,13.1,7.7,real
2016,18,Indiana,IN,17.1,7032.9,28.8,11.6,simulated
2017,18,Indiana,IN,16.5,7407.1,28.8,11.9,simulated
2018,18,Indiana,IN,16.2,7632.0,28.8,11.2,simulated
2019,18,Indiana,IN,16.0,7861.6,28.8,10.7,simulated
2020,18,Indiana,IN,15.9,8836.2,28.8,10.5,simulated
2021,18,Indiana,IN,15.9,9220.6,28.8,9.8,simulated
2022,18,Indiana,IN,16.1,9175.4,28.8,9.4,simulated
2023,18,Indiana,IN,15.9,9149.3,28.8,9.2,simulated
2024,18,Indiana,IN,15.4,9317.1,28.8,8.9,real
2025,18,Indiana,IN,15.1,9809.9,28.8,8.2,real
2016,19,Iowa,IA,8.9,5822.4,36.8,7.6,simulated
2017,19,Iowa,IA,9.9,5949.0,36.8,7.3,simulated
2018,19,Iowa,IA,9.8,6186.8,36.8,6.8,simulated
2019,19,Iowa,IA,10.4,6165.5,36.8,7.1,simulated
2020,19,Iowa,IA,10.5,6592.9,36.8,6.5,simulated
2021,19,Iowa,IA,11.4,6935.1,36.8,6.8,simulated
2022,19,Iowa,IA,11.7,7038.0,36.8,6.4,simulated
2023,19,Iowa,IA,12.3,6691.6,36.8,6.4,simulated
2024,19,Iowa,IA,12.3,6934.5,36.8,5.8,real
2025,19,Iowa,IA,13.0,7201.1,36.8,5.4,real
2016,20,Kansas,KS,16.5,5710.5,27.7,14.1,simulated
2017,20,Kansas,KS,16.2,6097.9,27.7,13.8,simulated
2018,20,Kansas,KS,16.0,6286.1,27.7,13.1,simulated
2019,20,Kansas,KS,15.6,6606.8,27.7,12.5,simulated
2020,20,Kansas,KS,14.9,7302.7,27.7,12.2,simulated
2021,20,Kansas,KS,14.9,8031.1,27.7,12.3,simulated
2022,20,Kansas,KS,14.3,7739.6,27.7,11.9,simulated
2023,20,Kansas,KS,14.2,7744.4,27.7,11.3,simulated
2024,20,Kansas,KS,13.7,8079.1,27.7,10.9,real
2025,20,Kansas,KS,13.1,8588.6,27.7,10.2,real
2016,21,Kentucky,KY,22.5,8319.5,41.3,7.7,simulated
2017,21,Kentucky,KY,21.9,8547.1,41.3,7.6,simulated
2018,21,Kentucky,KY,22.3,9088.4,41.3,7.3,simulated
2019,21,Kentucky,KY,21.7,9401.7,41.3,7.3,simulated
2020,21,Kentucky,KY,21.7,10392.4,41.3,7.0,simulated
2021,21,Kentucky,KY,21.5,10927.4,41.3,7.2,simulated
2022,21,Kentucky,KY,20.8,10781.7,41.3,7.3,simulated
2023,21,Kentucky,KY,21.1,10593.5,41.3,6.9,simulated
2024,21,Kentucky,KY,20.6,11054.6,41.3,6.8,real
2025,21,Kentucky,KY,20.2,11686.5,41.3,6.6,real
2016,22,Louisiana,LA,23.4,8395.4,28.5,13.2,simulated
2017,22,Louisiana,LA,23.6,8739.5,28.5,12.3,simulated
2018,22,Louisiana,LA,24.0,9066.9,28.5,12.1,simulated
2019,22,Louisiana,LA,24.1,9516.4,28.5,11.9,simulated
2020,22,Louisiana,LA,24.2,10515.4,28.5,10.8,simulated
2021,22,Louisiana,LA,24.8,11270.4,28.5,10.3,simulated
2022,22,Louisiana,LA,24.3,11162.1,28.5,9.8,simulated
2023,22,Louisiana,LA,25.0,11004.5,28.5,9.9,simulated
2024,22,Louisiana,LA,24.9,11463.6,28.5,9.2,real
2025,22,Louisiana,LA,25.2,12185.4,28.5,8.3,real
2016,23,Maine,ME,11.7,5072.1,61.4,2.4,simulated
2017,23,Maine,ME,11.3,5593.0,61.4,3.2,simulated
2018,23,Maine,ME,11.6,5801.1,61.4,3.8,simulated
2019,23,Maine,ME,11.5,6056.2,61.4,4.2,simulated
2020,23,Maine,ME,11.8,6821.9,61.4,5.3,simulated
2021,23,Maine,ME,12.0,7365.7,61.4,5.3,simulated
2022,23,Maine,ME,11.8,7443.7,61.4,6.4,simulated
2023,23,Maine,ME,12.5,7459.8,61.4,6.7,simulated
2024,23,Maine,ME,12.4,7811.8,61.4,7.3,real
2025,23,Maine,ME,12.6,8420.7,61.4,8.4,real
2016,24,Maryland,MD,15.9,7109.3,14.4,8.1,simulated
2017,24,Maryland,MD,15.6,7280.3,14.4,7.6,simulated
2018,24,Maryland,MD,14.9,7271.0,14.4,7.5,simulated
2019,24,Maryland,MD,14.1,7547.3,14.4,7.2,simulated
2020,24,Maryland,MD,13.9,8057.8,14.4,7.2,simulated
2021,24,Maryland,MD,13.6,8314.5,14.4,7.6,simulated
2022,24,Maryland,MD,13.4,7912.3,14.4,7.0,simulated
2023,24,Maryland,MD,12.7,7866.8,14.4,7.2,simulated
2024,24,Maryland,MD,12.1,7921.4,14.4,7.0,real
2025,24,Maryland,MD,11.3,8091.1,14.4,6.8,real
2016,25,Massachusetts,MA,6.7,5299.3,8.7,3.2,simulated
2017,25,Massachusetts,MA,7.6,5271.6,8.7,3.2,simulated
2018,25,Massachusetts,MA,7.8,5347.4,8.7,3.0,simulated
2019,25,Massachusetts,MA,8.9,5523.9,8.7,2.6,simulated
2020,25,Massachusetts,MA,9.3,5951.7,8.7,2.6,simulated
2021,25,Massachusetts,MA,9.7,6118.4,8.7,3.1,simulated
2022,25,Massachusetts,MA,10.5,6094.8,8.7,3.2,simulated
2023,25,Massachusetts,MA,11.0,5661.5,8.7,2.8,simulated
2024,25,Massachusetts,MA,11.6,5856.4,8.7,2.9,real
2025,25,Massachusetts,MA,12.7,5974.5,8.7,2.9,real
2016,26,Michigan,MI,18.9,7047.7,26.5,8.4,simulated
2017,26,Michigan,MI,19.0,7248.3,26.5,7.7,simulated
2018,26,Michigan,MI,18.6,7385.4,26.5,8.1,simulated
2019,26,Michigan,MI,18.4,7694.1,26.5,7.5,simulated
2020,26,Michigan,MI,18.7,8237.0,26.5,7.2,simulated
2021,26,Michigan,MI,18.2,8596.6,26.5,6.6,simulated
2022,26,Michigan,MI,18.3,8525.0,26.5,6.9,simulated
2023,26,Michigan,MI,17.9,8391.7,26.5,6.3,simulated
2024,26,Michigan,MI,17.8,8467.6,26.5,6.0,real
2025,26,Michigan,MI,17.5,8798.0,26.5,5.5,real
2016,27,Minnesota,MN,13.8,4639.7,28.1,5.0,simulated
2017,27,Minnesota,MN,13.4,4810.5,28.1,5.0,simulated
2018,27,Minnesota,MN,12.9,5014.1,28.1,5.0,simulated
2019,27,Minnesota,MN,12.8,5081.5,28.1,5.3,simulated
2020,27,Minnesota,MN,12.7,5546.3,28.1,5.1,simulated
2021,27,Minnesota,MN,12.1,6060.7,28.1,5.5,simulated
2022,27,Minnesota,MN,11.4,5997.5,28.1,5.3,simulated
2023,27,Minnesota,MN,10.9,6027.7,28.1,5.5,simulated
2024,27,Minnesota,MN,10.9,6116.8,28.1,5.3,real
2025,27,Minnesota,MN,10.2,6461.9,28.1,5.4,real
2016,28,Mississippi,MS,35.6,9814.2,53.7,19.8,simulated
2017,28,Mississippi,MS,34.3,10297.1,53.7,19.0,simulated
2018,28,Mississippi,MS,33.0,10618.2,53.7,18.4,simulated
2019,28,Mississippi,MS,32.5,10828.8,53.7,17.6,simulated
2020,28,Mississippi,MS,31.1,11928.8,53.7,17.1,simulated
2021,28,Mississippi,MS,29.8,12773.4,53.7,16.7,simulated
2022,28,Mississippi,MS,28.5,12591.4,53.7,15.4,simulated
2023,28,Mississippi,MS,27.2,12307.0,53.7,15.4,simulated
2024,28,Mississippi,MS,26.4,12697.5,53.7,14.3,real
2025,28,Mississippi,MS,24.3,13327.7,53.7,13.1,real
2016,29,Missouri,MO,26.0,7422.1,30.5,16.5,simulated
2017,29,Missouri,MO,24.5,7660.9,30.5,15.5,simulated
2018,29,Missouri,MO,24.0,7944.6,30.5,14.8,simulated
2019,29,Missouri,MO,22.6,8057.0,30.5,14.4,simulated
2020,29,Missouri,MO,21.0,9026.1,30.5,13.8,simulated
2021,29,Missouri,MO,20.3,9488.8,30.5,13.2,simulated
2022,29,Missouri,MO,19.4,9151.8,30.5,12.5,simulated
2023,29,Missouri,MO,17.7,9191.2,30.5,12.2,simulated
2024,29,Missouri,MO,16.8,9478.1,30.5,11.4,real
2025,29,Missouri,MO,14.7,9969.6,30.5,10.2,real
2016,30,Montana,MT,18.1,6951.1,46.6,10.9,simulated
2017,30,Montana,MT,17.3,7036.0,46.6,10.3,simulated
2018,30,Montana,MT,17.3,7120.8,46.6,10.4,simulated
2019,30,Montana,MT,16.7,7348.4,46.6,10.2,simulated
2020,30,Montana,MT,15.9,8135.0,46.6,10.7,simulated
2021,30,Montana,MT,15.1,8453.7,46.6,10.8,simulated
2022,30,Montana,MT,15.1,8356.9,46.6,10.8,simulated
2023,30,Montana,MT,14.3,8261.8,46.6,10.8,simulated
2024,30,Montana,MT,13.8,8418.1,46.6,10.5,real
2025,30,Montana,MT,12.8,8781.7,46.6,10.5,real
2016,31,Nebraska,NE,23.9,5826.2,27.0,11.6,simulated
2017,31,Nebraska,NE,22.3,5959.9,27.0,11.4,simulated
2018,31,Nebraska,NE,21.8,5944.0,27.0,10.6,simulated
2019,31,Nebraska,NE,20.2,6246.4,27.0,10.9,simulated
2020,31,Nebraska,NE,18.5,6715.7,27.0,10.3,simulated
2021,31,Nebraska,NE,17.7,6849.2,27.0,9.9,simulated
2022,31,Nebraska,NE,15.8,6675.2,27.0,9.0,simulated
2023,31,Nebraska,NE,14.5,6697.6,27.0,9.1,simulated
2024,31,Nebraska,NE,13.5,6820.3,27.0,8.5,real
2025,31,Nebraska,NE,11.1,7072.1,27.0,7.7,real
2016,32,Nevada,NV,16.7,6514.6,5.9,16.3,simulated
2017,32,Nevada,NV,16.5,6604.0,5.9,15.8,simulated
2018,32,Nevada,NV,16.9,6842.2,5.9,15.5,simulated
2019,32,Nevada,NV,16.9,7143.5,5.9,15.0,simulated
2020,32,Nevada,NV,16.5,7919.9,5.9,15.0,simulated
2021,32,Nevada,NV,16.4,8445.0,5.9,14.4,simulated
2022,32,Nevada,NV,16.9,8082.1,5.9,14.0,simulated
2023,32,Nevada,NV,16.3,8031.1,5.9,14.5,simulated
2024,32,Nevada,NV,16.5,8316.9,5.9,13.8,real
2025,32,Nevada,NV,16.4,8741.1,5.9,13.2,real
2016,33,New Hampshire,NH,5.9,6041.9,41.7,7.0,simulated
2017,33,New Hampshire,NH,5.8,6119.7,41.7,6.6,simulated
2018,33,New Hampshire,NH,5.7,6005.1,41.7,6.5,simulated
2019,33,New Hampshire,NH,6.5,6249.6,41.7,6.5,simulated
2020,33,New Hampshire,NH,7.0,6746.5,41.7,6.4,simulated
2021,33,New Hampshire,NH,7.0,7011.5,41.7,6.4,simulated
2022,33,New Hampshire,NH,7.4,6479.3,41.7,6.6,simulated
2023,33,New Hampshire,NH,7.1,6354.6,41.7,6.1,simulated
2024,33,New Hampshire,NH,7.7,6498.8,41.7,6.3,real
2025,33,New Hampshire,NH,8.2,6622.4,41.7,6.2,real
2016,34,New Jersey,NJ,11.9,6316.9,6.2,9.8,simulated
2017,34,New Jersey,NJ,12.2,6257.5,6.2,9.0,simulated
2018,34,New Jersey,NJ,12.7,6265.0,6.2,9.2,simulated
2019,34,New Jersey,NJ,12.7,6498.9,6.2,8.9,simulated
2020,34,New Jersey,NJ,12.6,6826.1,6.2,8.9,simulated
2021,34,New Jersey,NJ,12.4,7157.7,6.2,8.7,simulated
2022,34,New Jersey,NJ,12.2,6635.8,6.2,8.4,simulated
2023,34,New Jersey,NJ,12.3,6564.2,6.2,8.3,simulated
2024,34,New Jersey,NJ,12.7,6516.3,6.2,8.3,real
2025,34,New Jersey,NJ,12.8,6562.3,6.2,8.0,real
2016,35,New Mexico,NM,23.9,8032.0,25.5,21.0,simulated
2017,35,New Mexico,NM,24.1,8364.3,25.5,20.0,simulated
2018,35,New Mexico,NM,23.8,8867.2,25.5,19.2,simulated
2019,35,New Mexico,NM,23.8,9247.0,25.5,17.9,simulated
2020,35,New Mexico,NM,23.5,10457.6,25.5,17.1,simulated
2021,35,New Mexico,NM,23.7,11285.2,25.5,15.9,simulated
2022,35,New Mexico,NM,23.5,11052.6,25.5,14.9,simulated
2023,35,New Mexico,NM,22.8,11084.3,25.5,13.4,simulated
2024,35,New Mexico,NM,22.9,11557.9,25.5,12.6,real
2025,35,New Mexico,NM,22.6,12363.3,25.5,10.6,real
2016,36,New York,NY,18.7,5186.1,12.6,8.0,simulated
2017,36,New York,NY,18.4,5353.8,12.6,7.6,simulated
2018,36,New York,NY,18.8,5361.5,12.6,7.9,simulated
2019,36,New York,NY,18.4,5640.8,12.6,7.3,simulated
2020,36,New York,NY,18.8,5953.5,12.6,6.8,simulated
2021,36,New York,NY,18.7,6414.5,12.6,7.2,simulated
2022,36,New York,NY,18.5,6254.3,12.6,6.8,simulated
2023,36,New York,NY,18.5,6135.8,12.6,6.7,simulated
2024,36,New York,NY,18.6,6351.1,12.6,6.1,real
2025,36,New York,NY,18.6,6637.2,12.6,5.7,real
2016,37,North Carolina,NC,16.7,6368.6,33.3,18.3,simulated
2017,37,North Carolina,NC,16.4,6540.8,33.3,17.2,simulated
2018,37,North Carolina,NC,16.6,6953.7,33.3,16.8,simulated
2019,37,North Carolina,NC,16.4,7345.0,33.3,16.0,simulated
2020,37,North Carolina,NC,17.0,7990.2,33.3,15.2,simulated
2021,37,North Carolina,NC,17.1,8650.1,33.3,14.6,simulated
2022,37,North Carolina,NC,16.8,8506.7,33.3,14.1,simulated
2023,37,North Carolina,NC,17.2,8506.1,33.3,13.1,simulated
2024,37,North Carolina,NC,17.3,8852.6,33.3,12.5,real
2025,37,North Carolina,NC,17.5,9440.6,33.3,11.2,real
2016,38,North Dakota,ND,21.6,6016.4,39.0,17.9,simulated
2017,38,North Dakota,ND,20.7,6151.4,39.0,16.7,simulated
2018,38,North Dakota,ND,19.4,6416.2,39.0,16.1,simulated
2019,38,North Dakota,ND,18.1,6651.3,39.0,14.5,simulated
2020,38,North Dakota,ND,17.4,7315.8,39.0,13.6,simulated
2021,38,North Dakota,ND,15.6,7596.5,39.0,12.7,simulated
2022,38,North Dakota,ND,14.7,7574.8,39.0,11.1,simulated
2023,38,North Dakota,ND,13.6,7367.2,39.0,10.0,simulated
2024,38,North Dakota,ND,12.3,7634.1,39.0,9.2,real
2025,38,North Dakota,ND,10.1,8019.9,39.0,7.2,real
2016,39,Ohio,OH,18.6,7833.2,23.7,11.5,simulated
2017,39,Ohio,OH,18.2,8147.0,23.7,10.9,simulated
2018,39,Ohio,OH,18.1,8190.2,23.7,10.2,simulated
2019,39,Ohio,OH,18.6,8361.0,23.7,9.9,simulated
2020,39,Ohio,OH,18.3,9254.6,23.7,9.4,simulated
2021,39,Ohio,OH,18.4,9587.2,23.7,8.7,simulated
2022,39,Ohio,OH,17.5,9438.5,23.7,8.4,simulated
2023,39,Ohio,OH,17.7,9295.8,23.7,8.5,simulated
2024,39,Ohio,OH,17.7,9394.3,23.7,7.8,real
2025,39,Ohio,OH,17.5,9740.0,23.7,7.1,real
2016,40,Oklahoma,OK,16.2,7754.3,35.4,27.8,simulated
2017,40,Oklahoma,OK,16.3,8085.3,35.4,26.6,simulated
2018,40,Oklahoma,OK,17.1,8486.1,35.4,25.4,simulated
2019,40,Oklahoma,OK,17.4,8701.3,35.4,23.5,simulated
2020,40,Oklahoma,OK,18.2,9590.3,35.4,22.5,simulated
2021,40,Oklahoma,OK,18.4,10235.5,35.4,21.3,simulated
2022,40,Oklahoma,OK,19.1,10080.2,35.4,19.6,simulated
2023,40,Oklahoma,OK,19.5,10094.9,35.4,18.3,simulated
2024,40,Oklahoma,OK,19.7,10334.0,35.4,16.9,real
2025,40,Oklahoma,OK,20.5,10910.7,35.4,14.3,real
2016,41,Oregon,OR,13.2,4378.0,19.5,7.5,simulated
2017,41,Oregon,OR,13.2,4595.8,19.5,7.0,simulated
2018,41,Oregon,OR,14.0,5105.1,19.5,7.4,simulated
2019,41,Oregon,OR,13.7,5379.0,19.5,7.1,simulated
2020,41,Oregon,OR,13.3,5774.7,19.5,7.1,simulated
2021,41,Oregon,OR,13.6,6479.4,19.5,7.2,simulated
2022,41,Oregon,OR,13.3,6338.9,19.5,7.7,simulated
2023,41,Oregon,OR,13.6,6309.4,19.5,7.1,simulated
2024,41,Oregon,OR,13.6,6704.5,19.5,7.4,real
2025,41,Oregon,OR,13.6,7218.7,19.5,7.4,real
2016,42,Pennsylvania,PA,14.2,7032.2,23.5,7.1,simulated
2017,42,Pennsylvania,PA,14.1,7092.5,23.5,7.0,simulated
2018,42,Pennsylvania,PA,14.4,7106.9,23.5,7.5,simulated
2019,42,Pennsylvania,PA,14.7,7354.6,23.5,7.4,simulated
2020,42,Pennsylvania,PA,14.8,7953.8,23.5,7.1,simulated
2021,42,Pennsylvania,PA,14.6,8383.4,23.5,7.1,simulated
2022,42,Pennsylvania,PA,15.1,7988.8,23.5,6.6,simulated
2023,42,Pennsylvania,PA,15.3,7864.7,23.5,7.0,simulated
2024,42,Pennsylvania,PA,15.2,8032.3,23.5,6.7,real
2025,42,Pennsylvania,PA,15.5,8274.3,23.5,6.5,real
2016,44,Rhode Island,RI,9.4,6282.5,8.9,3.9,simulated
2017,44,Rhode Island,RI,9.6,6385.5,8.9,3.4,simulated
2018,44,Rhode Island,RI,10.2,6411.6,8.9,4.0,simulated
2019,44,Rhode Island,RI,11.0,6508.7,8.9,3.8,simulated
2020,44,Rhode Island,RI,11.6,6735.9,8.9,4.2,simulated
2021,44,Rhode Island,RI,12.0,6909.8,8.9,4.4,simulated
2022,44,Rhode Island,RI,13.2,6713.8,8.9,4.8,simulated
2023,44,Rhode Island,RI,13.7,6572.5,8.9,4.4,simulated
2024,44,Rhode Island,RI,14,6504.7,8.9,4.9,real
2025,44,Rhode Island,RI,15.1,6529.4,8.9,5.2,real
2016,45,South Carolina,SC,20.8,8219.8,32.1,17.6,simulated
2017,45,South Carolina,SC,21.0,8473.1,32.1,16.7,simulated
2018,45,South Carolina,SC,20.4,8584.4,32.1,16.5,simulated
2019,45,South Carolina,SC,20.6,8991.9,32.1,16.0,simulated
2020,45,South Carolina,SC,19.9,9630.6,32.1,15.2,simulated
2021,45,South Carolina,SC,19.8,10242.9,32.1,14.1,simulated
2022,45,South Carolina,SC,19.9,10131.4,32.1,13.9,simulated
2023,45,South Carolina,SC,19.4,10120.4,32.1,12.7,simulated
